Step,X,Y,Z,Species
0,6.705,6.705,0,FSDEE
0,6.705,4.47,2.235,LiFSI
0,4.47,6.705,2.235,FSDEE
0,6.705,4.47,0,LiFSI
0,4.47,4.47,2.235,FSDEE
0,5.5875,5.5875,1.1175,FSDEE
0,7.8225,5.5875,1.1175,FSDEE
0,5.5875,7.8225,1.1175,FSDEE
0,5.5875,5.5875,3.3525,FSDEE
0,7.8225,5.5875,3.3525,FSDEE
0,5.5875,7.8225,3.3525,FSDEE
0,7.8225,7.8225,3.3525,LiFSI
0,8.94,4.47,0,Li_Metal
0,11.175,6.705,2.235,Li_Metal
0,11.175,6.705,0,FSDEE
0,11.175,4.47,2.235,FSDEE
0,11.175,4.47,0,LiFSI
0,8.94,6.705,0,FSDEE
0,8.94,4.47,2.235,FSDEE
0,10.0575,5.5875,1.1175,FSDEE
0,10.0575,7.8225,1.1175,FSDEE
0,10.0575,5.5875,3.3525,FSDEE
0,12.2925,7.8225,1.1175,FSDEE
0,12.2925,5.5875,3.3525,FSDEE
0,12.2925,7.8225,3.3525,FSDEE
0,13.41,4.47,0,Li_Metal
0,15.645,6.705,2.235,Li_Metal
0,15.645,6.705,0,FSDEE
0,15.645,4.47,2.235,LiFSI
0,13.41,6.705,2.235,FSDEE
0,15.645,4.47,0,FSDEE
0,13.41,6.705,0,FSDEE
0,13.41,4.47,2.235,FSDEE
0,16.7625,5.5875,1.1175,FSDEE
0,14.5275,5.5875,3.3525,FSDEE
0,16.7625,7.8225,1.1175,FSDEE
0,16.7625,5.5875,3.3525,FSDEE
0,16.7625,7.8225,3.3525,FSDEE
0,17.88,4.47,0,Li_Metal
0,20.115,6.705,2.235,Li_Metal
0,20.115,6.705,0,FSDEE
0,20.115,4.47,2.235,FSDEE
0,20.115,4.47,0,LiFSI
0,17.88,6.705,0,LiFSI
0,18.9975,5.5875,1.1175,FSDEE
0,21.2325,5.5875,1.1175,LiFSI
0,18.9975,7.8225,1.1175,FSDEE
0,18.9975,5.5875,3.3525,LiFSI
0,21.2325,7.8225,1.1175,FSDEE
0,21.2325,5.5875,3.3525,FSDEE
0,18.9975,7.8225,3.3525,FSDEE
0,21.2325,7.8225,3.3525,FSDEE
0,22.35,4.47,0,Li_Metal
0,24.585,6.705,2.235,Li_Metal
0,24.585,6.705,0,FSDEE
0,24.585,4.47,2.235,FSDEE
0,22.35,6.705,2.235,FSDEE
0,24.585,4.47,0,FSDEE
0,22.35,6.705,0,LiFSI
0,22.35,4.47,2.235,FSDEE
0,23.4675,5.5875,1.1175,FSDEE
0,25.7025,5.5875,1.1175,FSDEE
0,23.4675,7.8225,1.1175,LiFSI
0,25.7025,7.8225,1.1175,FSDEE
0,25.7025,5.5875,3.3525,FSDEE
0,23.4675,7.8225,3.3525,FSDEE
0,25.7025,7.8225,3.3525,FSDEE
0,26.82,4.47,0,Li_Metal
0,29.055,6.705,2.235,Li_Metal
0,29.055,6.705,0,FSDEE
0,29.055,4.47,2.235,LiFSI
0,29.055,4.47,0,LiFSI
0,26.82,6.705,0,LiFSI
0,27.9375,5.5875,1.1175,LiFSI
0,27.9375,7.8225,1.1175,FSDEE
0,27.9375,5.5875,3.3525,FSDEE
0,30.1725,7.8225,1.1175,FSDEE
0,30.1725,7.8225,3.3525,FSDEE
0,31.29,4.47,0,Li_Metal
0,33.525,6.705,2.235,Li_Metal
0,33.525,6.705,0,FSDEE
0,33.525,4.47,2.235,FSDEE
0,31.29,6.705,2.235,FSDEE
0,33.525,4.47,0,LiFSI
0,31.29,6.705,0,FSDEE
0,31.29,4.47,2.235,FSDEE
0,32.4075,5.5875,1.1175,FSDEE
0,34.6425,5.5875,1.1175,FSDEE
0,32.4075,7.8225,1.1175,FSDEE
0,32.4075,5.5875,3.3525,LiFSI
0,34.6425,7.8225,1.1175,FSDEE
0,34.6425,5.5875,3.3525,FSDEE
0,32.4075,7.8225,3.3525,FSDEE
0,34.6425,7.8225,3.3525,FSDEE
0,35.76,4.47,0,Li_Metal
0,37.995,6.705,2.235,Li_Metal
0,37.995,6.705,0,FSDEE
